"","rownames(resOrderedDF)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C4034","gene:UTI89_C4034",2575.68538547944,2.39078657620101,0.511073920448669,4.67796629908673,2.89734149575507e-06,0.000463303013555584
"gene:UTI89_C0166","gene:UTI89_C0166",4858.72747868538,2.24962577269833,0.495058578205793,4.54416077558235,5.51545500803579e-06,0.000723655981438952
"gene:UTI89_C2138","gene:UTI89_C2138",492.82962616043,1.62512456500362,0.499906865385597,3.2508546641985,0.00115058658817275,0.0449431417685492
"gene:UTI89_C2145","gene:UTI89_C2145",344.412274532793,1.5191468656879,0.497489624807743,3.05362522138019,0.00226094340849265,0.0756159962173653
"gene:UTI89_C1049","gene:UTI89_C1049",844.41890316601,1.12440181721492,0.294805362463272,3.81404804790483,0.00013670887104543,0.0085309669895057
"gene:UTI89_P017","gene:UTI89_P017",323.435579483516,2.21115895264148,0.453174075400807,4.87927062174912,1.06478878750344e-06,0.000209558624063659
"gene:UTI89_C2631","gene:UTI89_C2631",380.153024723279,-0.763619049512496,0.25454757312715,-2.99990701200305,0.00270062039564638,0.0858327612703263
"gene:UTI89_C1574","gene:UTI89_C1574",5471.59895960905,-1.3995764774808,0.288389938816235,-4.8530697125763,1.21564933471134e-06,0.000230388060952517
"gene:UTI89_C1708","gene:UTI89_C1708",461.425581441127,1.55775867172013,0.438792700287877,3.55010160993595,0.000385082489327048,0.0195095752265991
"gene:UTI89_C2140","gene:UTI89_C2140",151.258425740124,1.76860801459012,0.480609056175037,3.67993068766892,0.000233297356828045,0.0128363717730011
"gene:UTI89_C2235","gene:UTI89_C2235",73.0323317774743,1.61991895230644,0.43218792384444,3.74818189711731,0.000178121060735857,0.0102409603121953
"gene:UTI89_C4237","gene:UTI89_C4237",736.988181238136,-2.84853431540263,0.34774546444799,-8.19143484710687,2.58130140233919e-16,6.99588020545837e-13
"gene:UTI89_C3305","gene:UTI89_C3305",1077.42394412956,-0.703760412923002,0.214205578234896,-3.28544391197537,0.00101821812321897,0.0423595295651339
"gene:UTI89_C0586","gene:UTI89_C0586",651.697046472677,2.41808400341886,0.505460617733215,4.78392167180696,1.71907697075598e-06,0.000293217228645278
