"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C4490","gene:UTI89_C4490",120.456049282939,0.883633825544689,0.369142708071326,2.39374585011159,0.0166773003348407,0.0963856938595948
"gene:UTI89_C2190","gene:UTI89_C2190",12.4633043261175,1.53905264475673,0.48737199568821,3.15786023483655,0.00158931736564956,0.0453587154125685
"gene:UTI89_C5001","gene:UTI89_C5001",98.0828403770675,1.08752527648193,0.426320996248256,2.55095406056107,0.0107428485172768,0.0819946848161279
"gene:UTI89_C5002","gene:UTI89_C5002",538.323952189169,1.31593737282681,0.549933346278351,2.39290339771603,0.0167156415168303,0.0963856938595948
"gene:UTI89_C5160","gene:UTI89_C5160",1424.24592370669,-0.78606085246236,0.332679235624505,-2.36281910106823,0.0181365201228475,0.0997912155744294
"gene:UTI89_C2586","gene:UTI89_C2586",178.309592179567,1.053328591593,0.391693213106212,2.68916732878744,0.00716305037042196,0.0727652443569597
"gene:UTI89_C1047","gene:UTI89_C1047",351.243964365357,1.42504352310953,0.41662478912803,3.42044823134999,0.000625180333926992,0.030907367830257
"gene:UTI89_C2069","gene:UTI89_C2069",1109.66877849887,-0.897307363099028,0.346408643494638,-2.59031458928627,0.00958882597921495,0.076797395989606
"gene:UTI89_C0699","gene:UTI89_C0699",680.859768148948,0.875333714986802,0.32039951309202,2.73200700756184,0.00629498020600068,0.0703556611258899
"gene:UTI89_C3795","gene:UTI89_C3795",66368.6349819033,-1.12359399572904,0.421719472794356,-2.66431613480873,0.00771450259423523,0.0739727071185546
"gene:UTI89_C3287","gene:UTI89_C3287",2273.11141594413,-0.785980682914692,0.262144521073935,-2.99827240216482,0.00271514870950943,0.055043076901376
"gene:UTI89_C0468","gene:UTI89_C0468",1643.66408548268,-1.36274267265337,0.43300077001671,-3.14720611836506,0.00164838716750153,0.0454650994803778
"gene:UTI89_C0564","gene:UTI89_C0564",72.563410782787,0.761617780034496,0.314814147336094,2.41926160713927,0.0155520509359071,0.0939960035376039
"gene:UTI89_C3358","gene:UTI89_C3358",362.54989542415,-0.967412534055047,0.394793121348366,-2.45042905193224,0.0142686079043036,0.0906252492476154
"gene:UTI89_C0950","gene:UTI89_C0950",26.2456646821588,1.25738856989736,0.414638053090012,3.03249680179355,0.00242539667497423,0.0528404890249913
"gene:UTI89_C3835","gene:UTI89_C3835",43850.565076703,-1.05505654597699,0.442256295782575,-2.38562244571344,0.0170502453670785,0.0972945035963435
"gene:UTI89_C2171","gene:UTI89_C2171",176.17544039348,0.602171032807185,0.248410239765853,2.42409907649049,0.0153464180332452,0.093547462243315
"gene:UTI89_C2611","gene:UTI89_C2611",1873.98693163607,-0.765697745948481,0.321866385475342,-2.37893045220511,0.0173629515145161,0.0981989822188291
