"","rownames(resOrderedDF)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C0594","gene:UTI89_C0594",217.807082122172,1.54907773534834,0.406485756015368,3.81090287279286,0.000138460164278366,0.0133383291588159
"gene:UTI89_C2183","gene:UTI89_C2183",6305.31392020494,1.48588579095491,0.398790533149487,3.72598060244806,0.000194557366603904,0.0173006396764703
"gene:UTI89_C0598","gene:UTI89_C0598",432.113189499207,2.53664046424309,0.398939015479784,6.35846674758646,2.03777484777143e-10,1.04696343289945e-07
"gene:UTI89_C2327","gene:UTI89_C2327",80.3163258803665,-1.06941933013127,0.322677879827583,-3.31420093221977,0.00091905437183336,0.0590237141021869
"gene:UTI89_C1166","gene:UTI89_C1166",142.916410147916,0.914481309235887,0.277148722534505,3.29960499501142,0.000968210018708841,0.0613288099521874
"gene:UTI89_C0169","gene:UTI89_C0169",1140.38752640442,2.26469972493397,0.311154963235446,7.27836606360125,3.3788745774548e-13,7.81195802307549e-10
"gene:UTI89_C5072","gene:UTI89_C5072",336.472740190827,1.35662158105067,0.40789101516369,3.32594131916892,0.000881204782783602,0.0576534370235989
"gene:UTI89_C1355","gene:UTI89_C1355",146.997516465893,-1.09849038370377,0.281444497182917,-3.90304445352093,9.49902478338188e-05,0.00998261149962678
"gene:UTI89_C1167","gene:UTI89_C1167",167.547716552563,0.896945213826176,0.239444745773655,3.74593817428782,0.000179720852814432,0.0166205844682787
"gene:UTI89_C2139","gene:UTI89_C2139",357.282176439109,1.32524467485916,0.409380470954557,3.23719563800655,0.0012071062701493,0.0724890830281867
"gene:UTI89_C1336","gene:UTI89_C1336",984.480841734825,1.63593979817475,0.39835148195177,4.10677472607675,4.01222189085006e-05,0.00501419297926775
"gene:UTI89_C2143","gene:UTI89_C2143",355.881948569,1.2738953389321,0.408120315547443,3.12137203271376,0.00180010463802106,0.0990914743596352
"gene:UTI89_C2179","gene:UTI89_C2179",683.205142899494,1.26881120740593,0.394830161652517,3.21356200877731,0.00131099486632806,0.076734686859506
"gene:UTI89_C0015","gene:UTI89_C0015",1775.30832893272,-1.13683861864825,0.354627922291479,-3.20572224347818,0.00134723964578429,0.077870451526332
"gene:UTI89_C3458","gene:UTI89_C3458",576.28463043708,1.1096594107942,0.299949217616554,3.69949093253765,0.000216032358122876,0.0188478042256638
"gene:UTI89_C0807","gene:UTI89_C0807",167.530304128038,1.83076970953812,0.268923523677747,6.80777079111884,9.91226193013669e-12,1.52780997216507e-08
"gene:UTI89_C3036","gene:UTI89_C3036",253.36008520156,1.62424271629781,0.407076080244954,3.99002249240595,6.60670298314886e-05,0.00745107185221472
"gene:UTI89_C1710","gene:UTI89_C1710",198.043385960724,1.52238896688961,0.395546150006455,3.84882766995651,0.000118684462365759,0.0119303685647667
"gene:UTI89_C2180","gene:UTI89_C2180",1596.42429624645,1.44170311358426,0.395896279778204,3.64161823998942,0.000270929638137952,0.0219785727499981
"gene:UTI89_C2141","gene:UTI89_C2141",241.091719301868,1.33976594946092,0.408181528109693,3.28227971428653,0.00102971405635639,0.0643432134674586
