"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C4728","gene:UTI89_C4728",646.134551671541,-1.49018898987488,0.423664903818566,-3.51737653141325,0.000435835058197364,0.0485730657963407
"gene:UTI89_C2202","gene:UTI89_C2202",1611.86866029219,-1.34968882142484,0.396186074996823,-3.40670434072086,0.00065752310845589,0.0685520866622399
"gene:UTI89_C1980","gene:UTI89_C1980",1166.18002826004,-1.58319550590489,0.350817145559735,-4.51287950416127,6.39533596578729e-06,0.0041339451682849
"gene:UTI89_C4040","gene:UTI89_C4040",6501.24141942555,-1.80267308912505,0.432721940766008,-4.16589250347218,3.10136824105598e-05,0.0111373579501032
"gene:UTI89_C1979","gene:UTI89_C1979",4191.57096955948,-1.68414938138623,0.356520475315095,-4.72385037604858,2.31420709303015e-06,0.00210854621337605
"gene:UTI89_C1874","gene:UTI89_C1874",411.726741793348,-1.29359793173716,0.391635143664476,-3.30306907504047,0.000956328277616716,0.0909074409781537
"gene:UTI89_C4393","gene:UTI89_C4393",1896.48469119335,-1.64319774070435,0.465030492588473,-3.53352686951325,0.000410054406694638,0.0473319943727525
"gene:UTI89_C4049","gene:UTI89_C4049",4426.170204326,-1.88331824566474,0.473893429222638,-3.97413876101656,7.06343765175816e-05,0.0175144432009171
"gene:UTI89_C0375","gene:UTI89_C0375",334.394583269502,0.913745334433092,0.251832434009807,3.62838622445872,0.000285198386558052,0.0384067160564844
"gene:UTI89_C1414","gene:UTI89_C1414",709.741408685442,-0.941561854609361,0.181746022947665,-5.18064626305738,2.21118466306734e-07,0.000357327441551682
"gene:UTI89_C2355","gene:UTI89_C2355",1220.42751435467,-1.43797838098747,0.441983516510926,-3.25346608475143,0.00114006333450763,0.099586072895369
"gene:UTI89_C2371","gene:UTI89_C2371",1446.37194243605,-1.44064275810767,0.406699738682616,-3.54227608499136,0.000396690049339246,0.0473319943727525
"gene:UTI89_C2870","gene:UTI89_C2870",21979.3575524821,1.06435253142783,0.325900058077837,3.26588628951278,0.00109122058549207,0.0979673592308433
"gene:UTI89_C0004","gene:UTI89_C0004",1205.38351326013,-1.11936350534889,0.291316750133044,-3.8424275460909,0.000121823382876564,0.0216819462922008
